,완전,완전히,아주
0,1,0,0
0됐어요,0,1,0
1,2,0,0
100퍼센트,1,0,0
100프로,0,1,0
10개도,1,0,0
10개씩,0,0,1
10대다,0,0,1
1도,1,0,0
1등신랑감인데요,1,0,0
1티어야,1,0,0
2,1,0,0
20까진,1,0,0
20분,1,0,0
20살,1,0,0
20이구나,1,0,0
2주,0,0,1
2주만인가,1,0,0
2학기에,0,0,1
4마리,0,0,1
5살때부터,1,0,0
5천원짜리,0,0,1
8월,1,0,0
E형,1,0,0
FM이라서,1,0,0
GS,1,0,0
INTJ,0,0,1
I인간이에요ㅋㅋㅋ,1,0,0
P라서,1,0,0
address걸이구만,1,0,0
affiliation,0,0,1
affiliation미식가네요,1,0,0
asmr아닌가요,1,0,0
asmr임,1,0,0
copy,0,2,0
fox야,0,0,1
f감성,1,0,0
istj라,1,0,0
mbti과몰입이에요,1,0,0
mbti박사신데,1,0,0
mvp예요,1,0,0
name16,0,0,1
name1꺼다,1,0,0
name1네,1,0,0
name1님,1,0,0
name1아니야,1,0,0
name1처럼,1,0,0
name2같아,1,0,0
name2네,1,0,0
name2이건데,1,0,0
name2이꺼다,1,0,0
name3,1,0,0
name3씨네요,0,0,1
name3이픽,1,0,0
name3인디,1,0,0
name4,1,0,0
name7이,1,0,0
p로,1,0,0
sbs의,1,0,0
smp,1,0,0
z,1,0,0
ㄱㅊ,1,0,0
ㅄ이었자나,1,0,0
ㅈ싹을,0,0,1
ㅊㅊ,1,0,0
ㅋ,1,0,2
ㅋㅋ,5,0,4
ㅋㅋㅋ,6,0,7
ㅋㅋㅋㅋ,0,0,2
ㅋㅋㅋㅋㅋ,1,0,1
ㅋㅋㅋㅋㅋㅋ,0,0,1
ㅋㅋㅋㅋㅋㅋㅋ,0,0,2
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,1
ㅋㅋㅋㅋㅋ큰일났어요ㅋㅋㅋㅋ,1,0,0
ㅋㅋㅋㅋ지금,1,0,0
ㅌㅋㅋㅋㅋ,0,0,1
ㅎ,1,0,2
ㅎㅎ,4,0,2
ㅎㅎㅎ,0,0,1
ㅜㅜ,1,0,1
ㅜㅜㅜㅜ,1,0,0
ㅠ,2,0,0
ㅠ_ㅠ,1,0,0
ㅠㅠ,2,0,2
ㅠㅠㅠㅠ,1,0,0
ㅡㅡ,1,0,2
ㅡㅡ나빴어,1,0,0
가,0,0,2
가1볍고,1,0,0
가고,1,0,0
가고싶어요,1,0,0
가기,1,1,0
가기가,1,0,0
가까운거면,0,0,1
가까운곳에,0,0,1
가까움,2,0,0
가까워,1,0,0
가까웠는데,1,0,0
가까이,1,0,0
가깝,1,0,0
가깝ㅈ,0,0,1
가깝고,0,0,1
가깝네,1,0,0
가깝죠,2,0,0
가깝지,2,0,0
가깝진,0,0,2
가끔,2,0,63
가끔가끔해요,1,0,0
가끔가다,0,0,1
가끔가다가,0,0,1
가끔가요,0,0,1
가끔느껴지거든여,0,0,1
가끔만,0,0,3
가끔만요,0,0,1
가끔먹으니까,0,0,1
가끔봐서,0,0,1
가끔봐요,0,0,1
가끔씩,0,0,7
가끔요,0,0,3
가끔은,0,0,2
가끔이라,0,0,1
가끔이죠,0,0,1
가끔해요,0,0,2
가난한,1,0,0
가늘게,0,0,1
가능,4,0,1
가능이에요,1,0,0
가능이죠,1,0,0
가능인데,2,0,0
가능하죠ㅋㅋㅋㅋㅋ알아서,1,0,0
가능하지,1,0,0
가능한,1,0,0
가능한거,1,0,0
가능합니다,1,0,0
가득,1,0,0
가득가득,0,0,1
가득하더라,0,0,1
가득히,1,0,0
가문의,1,0,0
가벼운,1,0,0
가벼운거,1,0,0
가벼워요,1,0,0
가보고싶어요,2,0,0
가보고싶었는데,1,0,0
가보고싶었어요,1,0,0
가뿐해졌지,0,0,1
가상인,1,0,0
가상인간이라고요,1,0,0
가서,0,0,1
가성비,7,0,2
가성비좋고,1,0,0
가성비콘서트,1,0,0
가스라이팅,2,0,0
가스라이팅할듯,1,0,0
가식,1,0,0
가아끔,0,0,5
가아끔ㅋㅋ,0,0,1
가아아아끔이여도,0,0,1
가요계팬덤,1,0,0
가운데에,1,0,0
가을,17,2,0
가을가을,1,0,0
가을같더라구요,1,0,0
가을같아요,1,0,0
가을겨울만,1,0,0
가을날씨,3,1,0
가을날씨같아요,1,0,0
가을날씨겟네요,1,0,0
가을날씨네요,2,0,0
가을날씨더라구요,1,0,0
가을날씨였어요,1,0,0
가을날씨죠,2,0,0
가을될,0,1,0
가을로,1,0,0
가을아네요,1,0,0
가을이,2,1,0
가을이겠죠,1,0,0
가을이네,0,1,0
가을이네요,4,0,0
가을이다,1,0,0
가을이당,1,0,0
가을이더라구요,1,0,0
가을이야,1,0,0
가을이양,1,0,0
가을이었죠,1,0,0
가을이에요,5,0,0
